Kód,Územná jednotka,Spolu,muži (abs.),muži (%),ženy (abs.),ženy (%)
SK010,Bratislavský kraj,719537,346304,48.13,373233,51.87
SK021,Trnavský kraj,566008,277521,49.03,288487,50.97
SK022,Trenčiansky kraj,577464,283661,49.12,293803,50.88
SK023,Nitriansky kraj,677900,330600,48.77,347300,51.23
SK031,Žilinský kraj,691613,340727,49.27,350886,50.73
SK032,Banskobystrický kraj,625601,304153,48.62,321448,51.38
SK041,Prešovský kraj,808931,400227,49.48,408704,50.52
SK042,Košický kraj,782216,382183,48.86,400033,51.14
